name,yr,pos,g,att,comp,pct.,yards,yards/att,td,int,rating,att/g,yards/g,team_name
John Busha,JR,QB,5,54,19,35.2,240,4.4,0,3,61.41,10.8,48.0,air_force
Quentin Hayes,SO,QB,4,7,6,85.7,122,17.4,1,0,279.25,1.8,30.5,air_force
Josh Johnson,SO,QB,2,3,1,33.3,18,6.0,0,1,17.06,1.5,9.0,air_force
Ben Finley,JR,QB,6,185,110,59.5,1061,5.7,7,6,113.63,30.8,176.8,akron
Tahj Bullock,JR,QB,6,20,15,75.0,95,4.8,0,0,114.90,3.3,15.8,akron
Brayden Roggow,FR,QB,1,2,1,50.0,9,4.5,0,1,-12.20,2.0,9.0,akron
Jalen Milroe,JR,QB,5,109,80,73.4,1274,11.7,11,2,201.20,21.8,254.8,alabama
Ty Simpson,SO,QB,2,14,9,64.3,96,6.9,0,0,121.89,7.0,48.0,alabama
Joey Aguilar,SR,QB,5,208,119,57.2,1523,7.3,8,5,126.59,41.6,304.6,appalachian_state
Billy Wiles,JR,QB,2,1,0,0.0,0,0.0,0,1,-200.00,0.5,0.0,appalachian_state
Kaedin Robinson,SR,WR,5,1,0,0.0,0,0.0,0,1,-200.00,0.2,0.0,appalachian_state
Noah Fifita,SO,QB,5,179,110,61.5,1361,7.6,7,6,131.53,35.8,272.2,arizona
Sam Leavitt,FR,QB,5,134,79,59.0,1012,7.6,7,3,135.16,26.8,202.4,arizona_state
Kanyon Floyd,FR,P,5,1,1,100.0,15,15.0,0,0,226.00,0.2,3.0,arizona_state
Taylen Green,JR,QB,6,189,107,56.6,1502,7.9,5,5,126.80,31.5,250.3,arkansas
Malachi Singleton,FR,QB,3,14,10,71.4,151,10.8,0,0,162.03,4.7,50.3,arkansas
KJ Jackson,FR,QB,1,4,4,100.0,59,14.8,0,0,223.90,4.0,59.0,arkansas
Jaylen Raynor,SO,QB,5,167,99,59.3,1125,6.7,4,5,117.78,33.4,225.0,arkansas_state
Timmy McClain,JR,QB,2,18,11,61.1,132,7.3,3,0,177.71,9.0,66.0,arkansas_state
Bryson Daily,SR,QB,5,30,17,56.7,380,12.7,5,0,218.07,6.0,76.0,army
Dewayne Coleman,JR,QB,4,7,6,85.7,73,10.4,1,0,220.45,1.8,18.3,army
James Wagenseller,SO,P,5,1,1,100.0,0,0.0,0,0,100.00,0.2,0.0,army
Payton Thorne,SR,QB,5,129,77,59.7,1238,9.6,10,6,156.58,25.8,247.6,auburn
Hank Brown,FR,QB,3,43,27,62.8,403,9.4,6,3,173.60,14.3,134.3,auburn
Holden Geriner,SO,QB,2,2,2,100.0,33,16.5,0,0,238.60,1.0,16.5,auburn
Kadin Semonza,FR,QB,5,174,117,67.2,1133,6.5,11,7,134.74,34.8,226.6,ball_state
Braedon Sloan,SR,RB,5,1,1,100.0,22,22.0,1,0,614.80,0.2,4.4,ball_state
Aidan Leffler,SO,QB,2,6,2,33.3,6,1.0,0,0,41.73,3.0,3.0,ball_state
Kiael Kelly,JR,DB,5,3,1,33.3,-3,-1.0,0,0,24.93,0.6,-0.6,ball_state
Sawyer Robertson,JR,QB,5,142,84,59.2,1045,7.4,9,3,137.67,28.4,209.0,baylor
Dequan Finn,SR,QB,2,43,23,53.5,307,7.1,3,2,127.19,21.5,153.5,baylor
Nate Bennett,FR,QB,1,1,1,100.0,19,19.0,0,0,259.60,1.0,19.0,baylor
Maddux Madsen,SO,QB,5,135,85,63.0,1056,7.8,10,2,150.14,27.0,211.2,boise_state
Malachi Nelson,FR,QB,2,15,10,66.7,113,7.5,0,1,116.62,7.5,56.5,boise_state
Max Cutforth,FR,QB,1,2,2,100.0,13,6.5,0,0,154.60,2.0,13.0,boise_state
Thomas Castellanos,JR,QB,5,100,67,67.0,983,9.8,12,4,181.17,20.0,196.6,boston_college
Grayson James,JR,QB,1,32,19,59.4,168,5.3,1,1,107.54,32.0,168.0,boston_college
Jacobe Robinson,FR,QB,1,3,2,66.7,23,7.7,0,0,131.07,3.0,23.0,boston_college
Connor Bazelak,SR,QB,5,163,111,68.1,1243,7.6,5,4,137.37,32.6,248.6,bowling_green
Lucian Anderson III,FR,QB,3,1,1,100.0,2,2.0,0,0,116.80,0.3,0.7,bowling_green
Harold Fannin Jr.,JR,TE,5,1,0,0.0,0,0.0,0,0,0.00,0.2,0.0,bowling_green
Justin Pegues,JR,RB,5,1,0,0.0,0,0.0,0,0,0.00,0.2,0.0,bowling_green
C.J. Ogbonna,SR,QB,5,108,56,51.9,624,5.8,4,1,110.76,21.6,124.8,buffalo
Gunnar Gray,JR,QB,2,11,4,36.4,41,3.7,0,1,49.49,5.5,20.5,buffalo
Jake Retzlaff,JR,QB,5,147,90,61.2,1208,8.2,12,5,150.39,29.4,241.6,byu
Gerry Bohanon,SR,QB,3,3,3,100.0,27,9.0,0,0,175.60,1.0,9.0,byu
Parker Kingston,SO,WR,5,1,0,0.0,0,0.0,0,0,0.00,0.2,0.0,byu
Fernando Mendoza,SO,QB,5,145,94,64.8,1177,8.1,7,3,144.80,29.0,235.4,california
Chandler Rogers,SR,QB,3,8,4,50.0,33,4.1,0,0,84.65,2.7,11.0,california
Joe Labas,JR,QB,5,151,88,58.3,1078,7.1,7,7,124.28,30.2,215.6,central_michigan
Tyler Jefferson,FR,QB,3,13,9,69.2,117,9.0,0,0,144.83,4.3,39.0,central_michigan
David Chapeau,SR,P,5,1,1,100.0,23,23.0,0,0,293.20,0.2,4.6,central_michigan
"Bert Emanuel, Jr.",SO,QB,2,2,1,50.0,7,3.5,1,0,244.40,1.0,3.5,central_michigan
Deshawn Purdie,FR,QB,4,79,48,60.8,717,9.1,4,1,151.18,19.8,179.3,charlotte
Max Brown,SO,QB,2,57,30,52.6,368,6.5,1,2,105.63,28.5,184.0,charlotte
Trexler Ivey,JR,QB,5,56,33,58.9,315,5.6,3,1,120.29,11.2,63.0,charlotte
Brendan Sorsby,SO,QB,5,163,108,66.3,1481,9.1,12,1,165.64,32.6,296.2,cincinnati
Brady Lichtenberg,JR,QB,2,4,3,75.0,25,6.3,0,0,127.50,2.0,12.5,cincinnati
Cade Klubnik,JR,QB,5,143,92,64.3,1219,8.5,14,2,165.45,28.6,243.8,clemson
Christopher Vizzina,FR,QB,4,18,11,61.1,119,6.6,0,0,116.64,4.5,29.8,clemson
Trent Pearman,SO,QB,2,4,2,50.0,8,2.0,0,0,66.80,2.0,4.0,clemson
Ethan Vasko,SO,QB,6,128,69,53.9,1185,9.3,8,4,146.06,21.3,197.5,coastal_carolina
Noah Kim,SR,QB,4,23,13,56.5,126,5.5,2,0,131.24,5.8,31.5,coastal_carolina
Kyre Duplessis,SR,WR,6,1,0,0.0,0,0.0,0,0,0.00,0.2,0.0,coastal_carolina
Shedeur Sanders,SR,QB,5,197,138,70.1,1630,8.3,14,3,159.95,39.4,326.0,colorado
Ryan Staub,FR,QB,2,2,0,0.0,0,0.0,0,0,0.00,1.0,0.0,colorado
Brayden Fowler-Nicolosi,SO,QB,5,136,84,61.8,865,6.4,4,4,119.02,27.2,173.0,colorado_state
Jackson Brousseau,FR,QB,2,6,3,50.0,15,2.5,0,1,37.67,3.0,7.5,colorado_state
Joe Fagnano,SR,QB,6,98,57,58.2,999,10.2,11,3,174.71,16.3,166.5,connecticut
Nick Evers,SO,QB,4,72,37,51.4,347,4.8,2,2,95.48,18.0,86.8,connecticut
Tucker McDonald,FR,QB,3,5,3,60.0,20,4.0,0,0,93.60,1.7,6.7,connecticut
Cole Welliver,FR,QB,1,4,2,50.0,10,2.5,0,0,71.00,4.0,10.0,connecticut
Maalik Murphy,SO,QB,6,208,125,60.1,1431,6.9,14,5,135.29,34.7,238.5,duke
Henry Belin IV,SO,QB,2,1,1,100.0,7,7.0,0,0,158.80,0.5,3.5,duke
Jake Garcia,JR,QB,6,181,109,60.2,1426,7.9,8,12,127.73,30.2,237.7,east_carolina
Katin Houser,SO,QB,2,31,14,45.2,134,4.3,0,1,75.02,15.5,67.0,east_carolina
