team_name,number,name,position,year,height,weight,hometown,last_schools,team_page_url
air_force,4,James Jones,DB,SO,6-2,171,"Denver, CO",Mullen,https://cfbstats.com/2017/team/721/index.html
air_force,51,Matt Evans,LB,SR,6-4,240,"Golden, CO",Arvada West,https://cfbstats.com/2017/team/721/index.html
air_force,34,Cole Fagan,FB,SO,6-1,230,"Dunnellon, FL",Admiral Farragut Academy,https://cfbstats.com/2017/team/721/index.html
air_force,83,Adam Farah,WR,SO,6-1,185,"Ada, MI",Forest Hills,https://cfbstats.com/2017/team/721/index.html
air_force,27,Jeremy Fejedelem,DB,SO,5-10,190,"Lemont, IL",Lemont Township,https://cfbstats.com/2017/team/721/index.html
air_force,99,Mosese Fifita,DL,SO,6-1,320,"Everett, WA",Glacier Peak,https://cfbstats.com/2017/team/721/index.html
air_force,50,Jack Flor,LB,SR,6-2,225,"Bothell, WA",O'Dea,https://cfbstats.com/2017/team/721/index.html
air_force,29,Kyle Floyd,DB,JR,6-2,210,"Houston, TX",Humble,https://cfbstats.com/2017/team/721/index.html
air_force,54,Christian Frost,OL,JR,6-4,280,"Rancho Santa Margarita, CA",Santa Margarita Catholic,https://cfbstats.com/2017/team/721/index.html
air_force,87,Matthew Gaiter,DL,SO,6-4,265,"Littleton, CO",Chatfield,https://cfbstats.com/2017/team/721/index.html
air_force,95,Cody Gessler,DL,JR,5-11,263,"Katy, TX",Katy,https://cfbstats.com/2017/team/721/index.html
air_force,63,Justin Greene,-,SR,6-0,220,"Copperas Cove, TX",Copperas Cove,https://cfbstats.com/2017/team/721/index.html
air_force,19,Nolan Eriksen,RB,SO,5-9,192,"Clarkston, MI",Clarkston,https://cfbstats.com/2017/team/721/index.html
air_force,2,Marquis Griffin,DB,SR,5-11,195,"Stockbridge, GA",Eagles Landing Christian Academy,https://cfbstats.com/2017/team/721/index.html
air_force,83,Ben Harris,DL,JR,6-6,260,"Peculair, MO",Raymore-Peculiar,https://cfbstats.com/2017/team/721/index.html
air_force,61,Scott Hattok,OL,SO,6-5,280,"Lansing, KS",Lansing,https://cfbstats.com/2017/team/721/index.html
air_force,93,Danny Highland,DL,JR,6-2,260,"Loveland, CO",Thompson Valley,https://cfbstats.com/2017/team/721/index.html
air_force,67,Tanner Holcomb,OL,SO,6-4,255,"Hiram, GA",South Paulding,https://cfbstats.com/2017/team/721/index.html
air_force,94,Jordan Jackson,DT,FR,6-5,260,"Jacksonville, FL",Bolles,https://cfbstats.com/2017/team/721/index.html
air_force,45,R.J. Jackson,LB,JR,6-3,215,"Beloit, KS",Beloit,https://cfbstats.com/2017/team/721/index.html
air_force,73,Max Kemper,OL,SO,6-2,250,"Marietta, GA",Pope,https://cfbstats.com/2017/team/721/index.html
air_force,93,Jake Koehnke,-,SO,6-0,175,"Carlsbad, CA",Las Costa Canyon,https://cfbstats.com/2017/team/721/index.html
air_force,48,Jake Ksiazek,LB,SO,6-2,250,"Tucson, AZ",Salpointe Catholic,https://cfbstats.com/2017/team/721/index.html
air_force,39,Jake LaCoste,WR,SR,5-10,205,"Albany, OR",West Albany,https://cfbstats.com/2017/team/721/index.html
air_force,74,Griffin Landrum,OL,JR,6-2,280,"Cummings, GA",South Forsyth,https://cfbstats.com/2017/team/721/index.html
air_force,38,Jarrod Hardrick,LB,SR,6-1,220,"Huber Heights, OH",Wayne,https://cfbstats.com/2017/team/721/index.html
air_force,14,Zane Lewis,DB,SO,6-1,186,"Richmond, VA",Trinity Episcopal,https://cfbstats.com/2017/team/721/index.html
air_force,98,Kyler Ehm,DL,SO,6-3,275,"Potwin, KS",Wichita Collegiate,https://cfbstats.com/2017/team/721/index.html
